Date,Value,,,,,,,,,,,,,,,,,,,,,,,
01-11-1990,0,,,,,,,,,,,,,,,,,,,,,,,
01-12-1990,0,,,,,,,,,,,,,,,,,,,,,,,
01-01-1991,5.27,,,,,,,,,,,,,,,,,,,,,,,
01-02-1991,0,,,,,,,,,,,,,,,,,,,,,,,
01-03-1991,5.27,,,,,,,,,,,,,,,,,,,,,,,
01-04-1991,0,,,,,,,,,,,,,,,,,,,,,,,
01-05-1991,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-06-1991,116.02,,,,,,,,,,,,,,,,,,,,,,,
01-07-1991,73.83,,,,,,,,,,,,,,,,,,,,,,,
01-08-1991,268.95,,,,,,,,,,,,,,,,,,,,,,,
01-09-1991,168.75,,,,,,,,,,,,,,,,,,,,,,,
01-10-1991,0,,,,,,,,,,,,,,,,,,,,,,,
01-11-1991,0,,,,,,,,,,,,,,,,,,,,,,,
01-12-1991,31.64,,,,,,,,,,,,,,,,,,,,,,,
01-01-1992,0,,,,,,,,,,,,,,,,,,,,,,,
01-02-1992,5.27,,,,,,,,,,,,,,,,,,,,,,,
01-03-1992,0,,,,,,,,,,,,,,,,,,,,,,,
01-04-1992,0,,,,,,,,,,,,,,,,,,,,,,,
01-05-1992,26.37,,,,,,,,,,,,,,,,,,,,,,,
01-06-1992,94.92,,,,,,,,,,,,,,,,,,,,,,,
01-07-1992,189.84,,,,,,,,,,,,,,,,,,,,,,,
01-08-1992,284.77,,,,,,,,,,,,,,,,,,,,,,,
01-09-1992,42.19,,,,,,,,,,,,,,,,,,,,,,,
01-10-1992,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-11-1992,0,,,,,,,,,,,,,,,,,,,,,,,
01-12-1992,0,,,,,,,,,,,,,,,,,,,,,,,
01-01-1993,0,,,,,,,,,,,,,,,,,,,,,,,
01-02-1993,0,,,,,,,,,,,,,,,,,,,,,,,
01-03-1993,26.37,,,,,,,,,,,,,,,,,,,,,,,
01-04-1993,0,,,,,,,,,,,,,,,,,,,,,,,
01-05-1993,10.55,,,,,,,,,,,,,,,,,,,,,,,
01-06-1993,110.74,,,,,,,,,,,,,,,,,,,,,,,
01-07-1993,152.93,,,,,,,,,,,,,,,,,,,,,,,
01-08-1993,232.03,,,,,,,,,,,,,,,,,,,,,,,
